geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Crittenden County, KY","county",05000US21055,0.327,0.225,0.213,,,,34261,33356,35316,38739
"Cumberland County, KY","county",05000US21057,0.27,0.249,0.228,,,,31593,30813,32019,33268
"Daviess County, KY","county",05000US21059,0.241,0.207,0.198,3,2.6,,46555,45760,45989,46675
"Edmonson County, KY","county",05000US21061,0.298,0.213,0.222,,,,37646,42404,41710,41689
"Elliott County, KY","county",05000US21063,0.314,0.281,0.265,,,,24246,28363,28224,27969
"Estill County, KY","county",05000US21065,0.361,0.262,0.266,,,10.8,29184,29905,29770,29694
"Fayette County, KY","county",05000US21067,0.164,0.231,0.201,4.8,5.2,5.4,48398,48667,49778,50661
"Fleming County, KY","county",05000US21069,0.291,0.248,0.253,,,,32495,33392,35469,36063
"Floyd County, KY","county",05000US21071,0.288,0.29,0.257,6.9,7,5.2,30476,30190,30096,30540
"Franklin County, KY","county",05000US21073,0.278,0.212,0.206,3.9,4.2,3.7,46071,46818,47964,50999
"Fulton County, KY","county",05000US21075,0.3,0.259,0.256,,,,33582,32948,28359,26841
"Gallatin County, KY","county",05000US21077,0.451,0.243,0.234,,,,43793,48917,48370,51180
"Garrard County, KY","county",05000US21079,0.253,0.232,0.227,,,,44652,44304,44243,46373
"Grant County, KY","county",05000US21081,0.271,0.234,0.219,,,,46159,46382,44824,44191
"Graves County, KY","county",05000US21083,0.206,0.209,0.208,6.3,6.3,5.4,38394,39529,39530,40268
"Grayson County, KY","county",05000US21085,0.292,0.26,0.248,,,,32399,33788,35030,36129
"Green County, KY","county",05000US21087,0.307,0.235,0.218,,,,34406,34368,34982,36681
"Greenup County, KY","county",05000US21089,0.228,0.218,0.192,,,,44060,44035,45370,46771
"Hancock County, KY","county",05000US21091,0.201,0.219,0.208,,,,51189,50311,50476,49375
"Hardin County, KY","county",05000US21093,0.233,0.219,0.2,3.4,4,4.2,48687,49602,50765,51541
"Harlan County, KY","county",05000US21095,0.312,0.278,0.282,,,5,25906,25186,25814,25350
"Harrison County, KY","county",05000US21097,0.309,0.225,0.23,,,,36048,35957,35681,40164
"Hart County, KY","county",05000US21099,0.295,0.262,0.245,,,,33408,34771,34774,35738
"Henderson County, KY","county",05000US21101,0.231,0.246,0.217,4.6,4,,41940,41006,41036,41630
"Henry County, KY","county",05000US21103,0.288,0.243,0.21,,,,46016,44764,46495,50412
"Hickman County, KY","county",05000US21105,0.296,0.219,0.212,,,,34029,42256,41218,39756
"Hopkins County, KY","county",05000US21107,0.239,0.208,0.203,2.9,,,40891,42404,42346,43169
"Jackson County, KY","county",05000US21109,0.339,0.282,0.272,,,,26156,27224,29826,30884
"Jefferson County, KY","county",05000US21111,0.229,0.218,0.223,9.1,9,8.8,46959,47692,48695,50099
"Jessamine County, KY","county",05000US21113,0.271,0.233,0.208,,,2.9,49024,50057,50558,52748
"Johnson County, KY","county",05000US21115,0.27,0.259,0.229,6.4,,,34090,35026,35570,35060
"Kenton County, KY","county",05000US21117,0.27,0.219,0.199,3.4,3.2,3.4,54270,54817,54296,56568
"Knott County, KY","county",05000US21119,0.305,0.257,0.259,,,10.6,33889,31624,30411,28165
"Knox County, KY","county",05000US21121,0.297,0.285,0.278,5.1,5.1,6.3,24038,25523,26599,26553
"Larue County, KY","county",05000US21123,0.271,0.233,0.226,,,,39753,39364,38578,41050
"Laurel County, KY","county",05000US21125,0.297,0.24,0.21,5.3,5.1,5.5,36570,35746,36020,36139
"Lawrence County, KY","county",05000US21127,0.334,0.251,0.234,,,,33525,36225,35935,35016
"Lee County, KY","county",05000US21129,0.409,0.274,0.266,,,,22920,23968,22698,21185
"Leslie County, KY","county",05000US21131,0.396,0.262,0.245,,,,29293,29156,25872,25282
"Letcher County, KY","county",05000US21133,0.284,0.252,0.242,,,,31200,31630,30333,29181
"Lewis County, KY","county",05000US21135,0.334,0.297,0.256,,,,28388,27707,28630,29088
"Lincoln County, KY","county",05000US21137,0.314,0.266,0.242,,,5.8,33651,35949,37139,35185
"Livingston County, KY","county",05000US21139,0.303,0.219,0.212,,,,40313,40580,42171,43333
"Logan County, KY","county",05000US21141,0.28,0.235,0.229,,,,36590,36101,38570,39027
"Lyon County, KY","county",05000US21143,0.15,0.208,0.199,,,,40112,43715,46931,47861
"McCracken County, KY","county",05000US21145,0.229,0.198,0.217,5,4.7,4.4,44898,43650,44067,42303
"McCreary County, KY","county",05000US21147,0.401,0.333,0.331,,,,20972,20000,19328,18972
"McLean County, KY","county",05000US21149,0.247,0.235,0.217,,,,38833,40851,40770,43005
"Madison County, KY","county",05000US21151,0.219,0.238,0.226,3.8,4,4.7,42312,42155,42390,43707
"Magoffin County, KY","county",05000US21153,0.331,0.275,0.268,,,,26877,27947,28500,29463
"Marion County, KY","county",05000US21155,0.237,0.245,0.228,,,,38719,38478,38826,40392
"Marshall County, KY","county",05000US21157,0.254,0.193,0.183,,,,43907,44539,45212,45670
"Martin County, KY","county",05000US21159,0.374,0.293,0.29,,,,26261,28040,25795,29052
"Mason County, KY","county",05000US21161,0.254,0.235,0.228,,,,41137,39783,38824,38613
"Meade County, KY","county",05000US21163,0.373,0.253,0.23,,,,46756,49379,49884,50034
"Menifee County, KY","county",05000US21165,0.361,0.256,0.255,,,,29108,30313,31503,35280
"Mercer County, KY","county",05000US21167,0.235,0.216,0.214,,,,45396,42658,42083,46130
"Metcalfe County, KY","county",05000US21169,0.371,0.259,0.228,,,,31750,30453,32294,33788
"Monroe County, KY","county",05000US21171,0.246,0.255,0.236,,,,29808,30378,31045,34120
